Condition,Confluence,Glucose,Time,Channel
CoCulture,5.7769935,Low,0,Red
CoCulture,6.6248155,Low,6,Red
CoCulture,7.64522375,Low,12,Red
CoCulture,8.6137305,Low,18,Red
CoCulture,9.6258155,Low,24,Red
CoCulture,10.748352,Low,30,Red
CoCulture,11.928595,Low,36,Red
CoCulture,13.1705025,Low,42,Red
CoCulture,14.3730925,Low,48,Red
CoCulture,15.6046225,Low,54,Red
CoCulture,16.9485325,Low,60,Red
CoCulture,18.238285,Low,66,Red
CoCulture,19.6077275,Low,72,Red
CoCulture,6.35776725,Low,0,Green
CoCulture,7.11968525,Low,6,Green
CoCulture,7.944841,Low,12,Green
CoCulture,8.62924725,Low,18,Green
CoCulture,9.12973525,Low,24,Green
CoCulture,9.37643475,Low,30,Green
CoCulture,9.3935645,Low,36,Green
CoCulture,9.3773575,Low,42,Green
CoCulture,9.01236025,Low,48,Green
CoCulture,8.57597175,Low,54,Green
CoCulture,8.08482375,Low,60,Green
CoCulture,7.51905775,Low,66,Green
CoCulture,6.94948125,Low,72,Green
