,Condition,Confluence,Date,DrugDose,Glucose,ReplicateId,Time,WellId,Channel
270,ResistantMonoCulture,27.798890000000004,1/19/2019 7:00:00 PM,0.1,Low,3,30,D7,Red
271,ResistantMonoCulture,22.91314,1/19/2019 7:00:00 PM,0.1,Low,4,30,D8,Red
316,ResistantMonoCulture,28.81127,1/20/2019 1:00:00 AM,0.1,Low,1,36,D5,Red
317,ResistantMonoCulture,24.28006,1/20/2019 1:00:00 AM,0.1,Low,2,36,D6,Red
318,ResistantMonoCulture,29.63307,1/20/2019 1:00:00 AM,0.1,Low,3,36,D7,Red
319,ResistantMonoCulture,24.82603,1/20/2019 1:00:00 AM,0.1,Low,4,36,D8,Red
364,ResistantMonoCulture,31.13575,1/20/2019 7:00:00 AM,0.1,Low,1,42,D5,Red
365,ResistantMonoCulture,25.92583,1/20/2019 7:00:00 AM,0.1,Low,2,42,D6,Red
366,ResistantMonoCulture,31.50268,1/20/2019 7:00:00 AM,0.1,Low,3,42,D7,Red
367,ResistantMonoCulture,26.64508,1/20/2019 7:00:00 AM,0.1,Low,4,42,D8,Red
412,ResistantMonoCulture,32.29364,1/20/2019 1:00:00 PM,0.1,Low,1,48,D5,Red
413,ResistantMonoCulture,27.38682,1/20/2019 1:00:00 PM,0.1,Low,2,48,D6,Red
414,ResistantMonoCulture,32.802170000000004,1/20/2019 1:00:00 PM,0.1,Low,3,48,D7,Red
415,ResistantMonoCulture,28.16486,1/20/2019 1:00:00 PM,0.1,Low,4,48,D8,Red
460,ResistantMonoCulture,32.93535,1/20/2019 7:00:00 PM,0.1,Low,1,54,D5,Red
461,ResistantMonoCulture,28.49508,1/20/2019 7:00:00 PM,0.1,Low,2,54,D6,Red
462,ResistantMonoCulture,33.84875,1/20/2019 7:00:00 PM,0.1,Low,3,54,D7,Red
463,ResistantMonoCulture,29.22908,1/20/2019 7:00:00 PM,0.1,Low,4,54,D8,Red
508,ResistantMonoCulture,34.20507,1/21/2019 1:00:00 AM,0.1,Low,1,60,D5,Red
509,ResistantMonoCulture,29.56365,1/21/2019 1:00:00 AM,0.1,Low,2,60,D6,Red
510,ResistantMonoCulture,34.67275,1/21/2019 1:00:00 AM,0.1,Low,3,60,D7,Red
511,ResistantMonoCulture,30.55548,1/21/2019 1:00:00 AM,0.1,Low,4,60,D8,Red
556,ResistantMonoCulture,35.88265,1/21/2019 7:00:00 AM,0.1,Low,1,66,D5,Red
557,ResistantMonoCulture,30.08583,1/21/2019 7:00:00 AM,0.1,Low,2,66,D6,Red
558,ResistantMonoCulture,34.9005,1/21/2019 7:00:00 AM,0.1,Low,3,66,D7,Red
559,ResistantMonoCulture,31.3178,1/21/2019 7:00:00 AM,0.1,Low,4,66,D8,Red
604,ResistantMonoCulture,34.97368,1/21/2019 1:00:00 PM,0.1,Low,1,72,D5,Red
605,ResistantMonoCulture,30.385590000000004,1/21/2019 1:00:00 PM,0.1,Low,2,72,D6,Red
606,ResistantMonoCulture,34.78414,1/21/2019 1:00:00 PM,0.1,Low,3,72,D7,Red
607,ResistantMonoCulture,31.74182,1/21/2019 1:00:00 PM,0.1,Low,4,72,D8,Red
652,ResistantMonoCulture,34.97582,1/21/2019 7:00:00 PM,0.1,Low,1,78,D5,Red
653,ResistantMonoCulture,30.385720000000003,1/21/2019 7:00:00 PM,0.1,Low,2,78,D6,Red
654,ResistantMonoCulture,35.26204,1/21/2019 7:00:00 PM,0.1,Low,3,78,D7,Red
655,ResistantMonoCulture,32.294909999999994,1/21/2019 7:00:00 PM,0.1,Low,4,78,D8,Red
700,ResistantMonoCulture,35.55375,1/22/2019 1:00:00 AM,0.1,Low,1,84,D5,Red
701,ResistantMonoCulture,30.7473,1/22/2019 1:00:00 AM,0.1,Low,2,84,D6,Red
702,ResistantMonoCulture,34.87546,1/22/2019 1:00:00 AM,0.1,Low,3,84,D7,Red
703,ResistantMonoCulture,32.54953,1/22/2019 1:00:00 AM,0.1,Low,4,84,D8,Red
748,ResistantMonoCulture,35.53389,1/22/2019 7:00:00 AM,0.1,Low,1,90,D5,Red
749,ResistantMonoCulture,30.59727,1/22/2019 7:00:00 AM,0.1,Low,2,90,D6,Red
750,ResistantMonoCulture,34.77661,1/22/2019 7:00:00 AM,0.1,Low,3,90,D7,Red
751,ResistantMonoCulture,32.93891,1/22/2019 7:00:00 AM,0.1,Low,4,90,D8,Red
796,ResistantMonoCulture,34.735440000000004,1/22/2019 1:00:00 PM,0.1,Low,1,96,D5,Red
797,ResistantMonoCulture,30.3364,1/22/2019 1:00:00 PM,0.1,Low,2,96,D6,Red
798,ResistantMonoCulture,33.99488,1/22/2019 1:00:00 PM,0.1,Low,3,96,D7,Red
799,ResistantMonoCulture,33.34608,1/22/2019 1:00:00 PM,0.1,Low,4,96,D8,Red
844,ResistantMonoCulture,32.9242,1/22/2019 7:00:00 PM,0.1,Low,1,102,D5,Red
845,ResistantMonoCulture,29.7687,1/22/2019 7:00:00 PM,0.1,Low,2,102,D6,Red
846,ResistantMonoCulture,34.15044,1/22/2019 7:00:00 PM,0.1,Low,3,102,D7,Red
847,ResistantMonoCulture,33.48502,1/22/2019 7:00:00 PM,0.1,Low,4,102,D8,Red
892,ResistantMonoCulture,33.30501,1/23/2019 1:00:00 AM,0.1,Low,1,108,D5,Red
893,ResistantMonoCulture,30.87806,1/23/2019 1:00:00 AM,0.1,Low,2,108,D6,Red
894,ResistantMonoCulture,34.94205,1/23/2019 1:00:00 AM,0.1,Low,3,108,D7,Red
895,ResistantMonoCulture,33.68562,1/23/2019 1:00:00 AM,0.1,Low,4,108,D8,Red
940,ResistantMonoCulture,32.38053,1/23/2019 7:00:00 AM,0.1,Low,1,114,D5,Red
941,ResistantMonoCulture,30.377990000000004,1/23/2019 7:00:00 AM,0.1,Low,2,114,D6,Red
942,ResistantMonoCulture,33.80816,1/23/2019 7:00:00 AM,0.1,Low,3,114,D7,Red
943,ResistantMonoCulture,32.71117,1/23/2019 7:00:00 AM,0.1,Low,4,114,D8,Red
988,ResistantMonoCulture,32.37169,1/23/2019 1:00:00 PM,0.1,Low,1,120,D5,Red
989,ResistantMonoCulture,29.04516,1/23/2019 1:00:00 PM,0.1,Low,2,120,D6,Red
990,ResistantMonoCulture,32.00562,1/23/2019 1:00:00 PM,0.1,Low,3,120,D7,Red
991,ResistantMonoCulture,31.52776,1/23/2019 1:00:00 PM,0.1,Low,4,120,D8,Red
1036,ResistantMonoCulture,34.08661,1/23/2019 7:00:00 PM,0.1,Low,1,126,D5,Red
1037,ResistantMonoCulture,28.73093,1/23/2019 7:00:00 PM,0.1,Low,2,126,D6,Red
1038,ResistantMonoCulture,30.73684,1/23/2019 7:00:00 PM,0.1,Low,3,126,D7,Red
1039,ResistantMonoCulture,30.45373,1/23/2019 7:00:00 PM,0.1,Low,4,126,D8,Red
1084,ResistantMonoCulture,30.95632,1/24/2019 1:00:00 AM,0.1,Low,1,132,D5,Red
1085,ResistantMonoCulture,27.62413,1/24/2019 1:00:00 AM,0.1,Low,2,132,D6,Red
1086,ResistantMonoCulture,29.73696,1/24/2019 1:00:00 AM,0.1,Low,3,132,D7,Red
1087,ResistantMonoCulture,29.76752,1/24/2019 1:00:00 AM,0.1,Low,4,132,D8,Red
1132,ResistantMonoCulture,30.72955,1/24/2019 7:00:00 AM,0.1,Low,1,138,D5,Red
1133,ResistantMonoCulture,27.05353,1/24/2019 7:00:00 AM,0.1,Low,2,138,D6,Red
1134,ResistantMonoCulture,28.77245,1/24/2019 7:00:00 AM,0.1,Low,3,138,D7,Red
1135,ResistantMonoCulture,28.92905,1/24/2019 7:00:00 AM,0.1,Low,4,138,D8,Red
1180,ResistantMonoCulture,31.05769,1/24/2019 1:00:00 PM,0.1,Low,1,144,D5,Red
1181,ResistantMonoCulture,25.35688,1/24/2019 1:00:00 PM,0.1,Low,2,144,D6,Red
1182,ResistantMonoCulture,27.57018,1/24/2019 1:00:00 PM,0.1,Low,3,144,D7,Red
1183,ResistantMonoCulture,27.46142,1/24/2019 1:00:00 PM,0.1,Low,4,144,D8,Red
1228,ResistantMonoCulture,29.3414,1/24/2019 7:00:00 PM,0.1,Low,1,150,D5,Red
1229,ResistantMonoCulture,24.00213,1/24/2019 7:00:00 PM,0.1,Low,2,150,D6,Red
1230,ResistantMonoCulture,26.46096,1/24/2019 7:00:00 PM,0.1,Low,3,150,D7,Red
1231,ResistantMonoCulture,26.2299,1/24/2019 7:00:00 PM,0.1,Low,4,150,D8,Red
1276,ResistantMonoCulture,28.43508,1/25/2019 1:00:00 AM,0.1,Low,1,156,D5,Red
1277,ResistantMonoCulture,22.839920000000003,1/25/2019 1:00:00 AM,0.1,Low,2,156,D6,Red
1278,ResistantMonoCulture,25.08393,1/25/2019 1:00:00 AM,0.1,Low,3,156,D7,Red
1279,ResistantMonoCulture,25.674670000000003,1/25/2019 1:00:00 AM,0.1,Low,4,156,D8,Red
1324,ResistantMonoCulture,27.69746,1/25/2019 7:00:00 AM,0.1,Low,1,162,D5,Red
1325,ResistantMonoCulture,22.12112,1/25/2019 7:00:00 AM,0.1,Low,2,162,D6,Red
1326,ResistantMonoCulture,24.28537,1/25/2019 7:00:00 AM,0.1,Low,3,162,D7,Red
1327,ResistantMonoCulture,25.22205,1/25/2019 7:00:00 AM,0.1,Low,4,162,D8,Red
1372,ResistantMonoCulture,27.09214,1/25/2019 1:00:00 PM,0.1,Low,1,168,D5,Red
1373,ResistantMonoCulture,21.14138,1/25/2019 1:00:00 PM,0.1,Low,2,168,D6,Red
1374,ResistantMonoCulture,23.29565,1/25/2019 1:00:00 PM,0.1,Low,3,168,D7,Red
1375,ResistantMonoCulture,24.85563,1/25/2019 1:00:00 PM,0.1,Low,4,168,D8,Red
12,SensitiveMonoCulture,12.27043,1/18/2019 1:00:00 PM,0.1,Low,1,0,B5,Green
13,SensitiveMonoCulture,8.709453,1/18/2019 1:00:00 PM,0.1,Low,2,0,B6,Green
14,SensitiveMonoCulture,13.06273,1/18/2019 1:00:00 PM,0.1,Low,3,0,B7,Green
15,SensitiveMonoCulture,6.55162,1/18/2019 1:00:00 PM,0.1,Low,4,0,B8,Green
60,SensitiveMonoCulture,14.54534,1/18/2019 7:00:00 PM,0.1,Low,1,6,B5,Green
61,SensitiveMonoCulture,10.19735,1/18/2019 7:00:00 PM,0.1,Low,2,6,B6,Green
62,SensitiveMonoCulture,15.62438,1/18/2019 7:00:00 PM,0.1,Low,3,6,B7,Green
63,SensitiveMonoCulture,7.876602,1/18/2019 7:00:00 PM,0.1,Low,4,6,B8,Green
108,SensitiveMonoCulture,16.8863,1/19/2019 1:00:00 AM,0.1,Low,1,12,B5,Green
109,SensitiveMonoCulture,11.69875,1/19/2019 1:00:00 AM,0.1,Low,2,12,B6,Green
110,SensitiveMonoCulture,17.81685,1/19/2019 1:00:00 AM,0.1,Low,3,12,B7,Green
111,SensitiveMonoCulture,8.924831,1/19/2019 1:00:00 AM,0.1,Low,4,12,B8,Green
156,SensitiveMonoCulture,18.73156,1/19/2019 7:00:00 AM,0.1,Low,1,18,B5,Green
157,SensitiveMonoCulture,12.81019,1/19/2019 7:00:00 AM,0.1,Low,2,18,B6,Green
158,SensitiveMonoCulture,19.837670000000003,1/19/2019 7:00:00 AM,0.1,Low,3,18,B7,Green
159,SensitiveMonoCulture,9.943738,1/19/2019 7:00:00 AM,0.1,Low,4,18,B8,Green
204,SensitiveMonoCulture,19.93918,1/19/2019 1:00:00 PM,0.1,Low,1,24,B5,Green
205,SensitiveMonoCulture,14.14467,1/19/2019 1:00:00 PM,0.1,Low,2,24,B6,Green
206,SensitiveMonoCulture,21.48223,1/19/2019 1:00:00 PM,0.1,Low,3,24,B7,Green
207,SensitiveMonoCulture,10.8248,1/19/2019 1:00:00 PM,0.1,Low,4,24,B8,Green
252,SensitiveMonoCulture,21.30367,1/19/2019 7:00:00 PM,0.1,Low,1,30,B5,Green
253,SensitiveMonoCulture,14.77329,1/19/2019 7:00:00 PM,0.1,Low,2,30,B6,Green
254,SensitiveMonoCulture,22.51838,1/19/2019 7:00:00 PM,0.1,Low,3,30,B7,Green
255,SensitiveMonoCulture,11.41768,1/19/2019 7:00:00 PM,0.1,Low,4,30,B8,Green
300,SensitiveMonoCulture,21.8415,1/20/2019 1:00:00 AM,0.1,Low,1,36,B5,Green
301,SensitiveMonoCulture,15.55492,1/20/2019 1:00:00 AM,0.1,Low,2,36,B6,Green
302,SensitiveMonoCulture,23.35575,1/20/2019 1:00:00 AM,0.1,Low,3,36,B7,Green
303,SensitiveMonoCulture,11.71761,1/20/2019 1:00:00 AM,0.1,Low,4,36,B8,Green
348,SensitiveMonoCulture,22.71458,1/20/2019 7:00:00 AM,0.1,Low,1,42,B5,Green
349,SensitiveMonoCulture,15.89194,1/20/2019 7:00:00 AM,0.1,Low,2,42,B6,Green
350,SensitiveMonoCulture,23.65968,1/20/2019 7:00:00 AM,0.1,Low,3,42,B7,Green
351,SensitiveMonoCulture,11.92273,1/20/2019 7:00:00 AM,0.1,Low,4,42,B8,Green
396,SensitiveMonoCulture,22.65963,1/20/2019 1:00:00 PM,0.1,Low,1,48,B5,Green
397,SensitiveMonoCulture,16.10366,1/20/2019 1:00:00 PM,0.1,Low,2,48,B6,Green
398,SensitiveMonoCulture,23.86301,1/20/2019 1:00:00 PM,0.1,Low,3,48,B7,Green
399,SensitiveMonoCulture,12.01795,1/20/2019 1:00:00 PM,0.1,Low,4,48,B8,Green
444,SensitiveMonoCulture,22.73918,1/20/2019 7:00:00 PM,0.1,Low,1,54,B5,Green
445,SensitiveMonoCulture,16.03369,1/20/2019 7:00:00 PM,0.1,Low,2,54,B6,Green
446,SensitiveMonoCulture,23.61371,1/20/2019 7:00:00 PM,0.1,Low,3,54,B7,Green
447,SensitiveMonoCulture,12.09487,1/20/2019 7:00:00 PM,0.1,Low,4,54,B8,Green
492,SensitiveMonoCulture,22.27246,1/21/2019 1:00:00 AM,0.1,Low,1,60,B5,Green
493,SensitiveMonoCulture,16.07064,1/21/2019 1:00:00 AM,0.1,Low,2,60,B6,Green
494,SensitiveMonoCulture,23.447,1/21/2019 1:00:00 AM,0.1,Low,3,60,B7,Green
495,SensitiveMonoCulture,12.07898,1/21/2019 1:00:00 AM,0.1,Low,4,60,B8,Green
540,SensitiveMonoCulture,22.28625,1/21/2019 7:00:00 AM,0.1,Low,1,66,B5,Green
541,SensitiveMonoCulture,15.839720000000002,1/21/2019 7:00:00 AM,0.1,Low,2,66,B6,Green
542,SensitiveMonoCulture,23.4577,1/21/2019 7:00:00 AM,0.1,Low,3,66,B7,Green
543,SensitiveMonoCulture,11.96031,1/21/2019 7:00:00 AM,0.1,Low,4,66,B8,Green
588,SensitiveMonoCulture,22.28293,1/21/2019 1:00:00 PM,0.1,Low,1,72,B5,Green
589,SensitiveMonoCulture,15.75669,1/21/2019 1:00:00 PM,0.1,Low,2,72,B6,Green
590,SensitiveMonoCulture,23.30339,1/21/2019 1:00:00 PM,0.1,Low,3,72,B7,Green
591,SensitiveMonoCulture,11.95271,1/21/2019 1:00:00 PM,0.1,Low,4,72,B8,Green
636,SensitiveMonoCulture,21.62906,1/21/2019 7:00:00 PM,0.1,Low,1,78,B5,Green
637,SensitiveMonoCulture,15.58045,1/21/2019 7:00:00 PM,0.1,Low,2,78,B6,Green
638,SensitiveMonoCulture,22.71966,1/21/2019 7:00:00 PM,0.1,Low,3,78,B7,Green
639,SensitiveMonoCulture,11.69951,1/21/2019 7:00:00 PM,0.1,Low,4,78,B8,Green
684,SensitiveMonoCulture,21.27421,1/22/2019 1:00:00 AM,0.1,Low,1,84,B5,Green
685,SensitiveMonoCulture,15.36921,1/22/2019 1:00:00 AM,0.1,Low,2,84,B6,Green
686,SensitiveMonoCulture,22.35097,1/22/2019 1:00:00 AM,0.1,Low,3,84,B7,Green
687,SensitiveMonoCulture,11.49177,1/22/2019 1:00:00 AM,0.1,Low,4,84,B8,Green
732,SensitiveMonoCulture,20.86352,1/22/2019 7:00:00 AM,0.1,Low,1,90,B5,Green
733,SensitiveMonoCulture,15.00373,1/22/2019 7:00:00 AM,0.1,Low,2,90,B6,Green
734,SensitiveMonoCulture,21.77011,1/22/2019 7:00:00 AM,0.1,Low,3,90,B7,Green
735,SensitiveMonoCulture,11.27159,1/22/2019 7:00:00 AM,0.1,Low,4,90,B8,Green
780,SensitiveMonoCulture,20.66368,1/22/2019 1:00:00 PM,0.1,Low,1,96,B5,Green
781,SensitiveMonoCulture,14.66094,1/22/2019 1:00:00 PM,0.1,Low,2,96,B6,Green
782,SensitiveMonoCulture,21.34512,1/22/2019 1:00:00 PM,0.1,Low,3,96,B7,Green
783,SensitiveMonoCulture,11.17516,1/22/2019 1:00:00 PM,0.1,Low,4,96,B8,Green
828,SensitiveMonoCulture,20.39988,1/22/2019 7:00:00 PM,0.1,Low,1,102,B5,Green
829,SensitiveMonoCulture,14.51301,1/22/2019 7:00:00 PM,0.1,Low,2,102,B6,Green
830,SensitiveMonoCulture,21.13944,1/22/2019 7:00:00 PM,0.1,Low,3,102,B7,Green
831,SensitiveMonoCulture,11.14207,1/22/2019 7:00:00 PM,0.1,Low,4,102,B8,Green
876,SensitiveMonoCulture,19.74818,1/23/2019 1:00:00 AM,0.1,Low,1,108,B5,Green
877,SensitiveMonoCulture,14.17157,1/23/2019 1:00:00 AM,0.1,Low,2,108,B6,Green
878,SensitiveMonoCulture,20.5695,1/23/2019 1:00:00 AM,0.1,Low,3,108,B7,Green
879,SensitiveMonoCulture,10.90265,1/23/2019 1:00:00 AM,0.1,Low,4,108,B8,Green
924,SensitiveMonoCulture,19.57529,1/23/2019 7:00:00 AM,0.1,Low,1,114,B5,Green
925,SensitiveMonoCulture,13.90528,1/23/2019 7:00:00 AM,0.1,Low,2,114,B6,Green
926,SensitiveMonoCulture,19.93134,1/23/2019 7:00:00 AM,0.1,Low,3,114,B7,Green
927,SensitiveMonoCulture,10.65443,1/23/2019 7:00:00 AM,0.1,Low,4,114,B8,Green
972,SensitiveMonoCulture,19.18535,1/23/2019 1:00:00 PM,0.1,Low,1,120,B5,Green
973,SensitiveMonoCulture,13.65796,1/23/2019 1:00:00 PM,0.1,Low,2,120,B6,Green
974,SensitiveMonoCulture,19.98249,1/23/2019 1:00:00 PM,0.1,Low,3,120,B7,Green
975,SensitiveMonoCulture,10.56653,1/23/2019 1:00:00 PM,0.1,Low,4,120,B8,Green
1020,SensitiveMonoCulture,18.774420000000003,1/23/2019 7:00:00 PM,0.1,Low,1,126,B5,Green
1021,SensitiveMonoCulture,13.26194,1/23/2019 7:00:00 PM,0.1,Low,2,126,B6,Green
1022,SensitiveMonoCulture,19.6587,1/23/2019 7:00:00 PM,0.1,Low,3,126,B7,Green
1023,SensitiveMonoCulture,10.31077,1/23/2019 7:00:00 PM,0.1,Low,4,126,B8,Green
1068,SensitiveMonoCulture,18.37132,1/24/2019 1:00:00 AM,0.1,Low,1,132,B5,Green
1069,SensitiveMonoCulture,12.99797,1/24/2019 1:00:00 AM,0.1,Low,2,132,B6,Green
1070,SensitiveMonoCulture,19.70315,1/24/2019 1:00:00 AM,0.1,Low,3,132,B7,Green
1071,SensitiveMonoCulture,10.23382,1/24/2019 1:00:00 AM,0.1,Low,4,132,B8,Green
1116,SensitiveMonoCulture,18.31282,1/24/2019 7:00:00 AM,0.1,Low,1,138,B5,Green
1117,SensitiveMonoCulture,12.67721,1/24/2019 7:00:00 AM,0.1,Low,2,138,B6,Green
1118,SensitiveMonoCulture,19.31028,1/24/2019 7:00:00 AM,0.1,Low,3,138,B7,Green
1119,SensitiveMonoCulture,10.0754,1/24/2019 7:00:00 AM,0.1,Low,4,138,B8,Green
1164,SensitiveMonoCulture,18.551170000000003,1/24/2019 1:00:00 PM,0.1,Low,1,144,B5,Green
1165,SensitiveMonoCulture,12.8994,1/24/2019 1:00:00 PM,0.1,Low,2,144,B6,Green
1166,SensitiveMonoCulture,19.14194,1/24/2019 1:00:00 PM,0.1,Low,3,144,B7,Green
1167,SensitiveMonoCulture,9.997997,1/24/2019 1:00:00 PM,0.1,Low,4,144,B8,Green
1212,SensitiveMonoCulture,16.91161,1/24/2019 7:00:00 PM,0.1,Low,1,150,B5,Green
1213,SensitiveMonoCulture,11.5368,1/24/2019 7:00:00 PM,0.1,Low,2,150,B6,Green
1214,SensitiveMonoCulture,17.75931,1/24/2019 7:00:00 PM,0.1,Low,3,150,B7,Green
1215,SensitiveMonoCulture,9.39973,1/24/2019 7:00:00 PM,0.1,Low,4,150,B8,Green
1260,SensitiveMonoCulture,16.668120000000002,1/25/2019 1:00:00 AM,0.1,Low,1,156,B5,Green
1261,SensitiveMonoCulture,11.10145,1/25/2019 1:00:00 AM,0.1,Low,2,156,B6,Green
1262,SensitiveMonoCulture,17.28828,1/25/2019 1:00:00 AM,0.1,Low,3,156,B7,Green
1263,SensitiveMonoCulture,9.297083,1/25/2019 1:00:00 AM,0.1,Low,4,156,B8,Green
1308,SensitiveMonoCulture,16.45194,1/25/2019 7:00:00 AM,0.1,Low,1,162,B5,Green
1309,SensitiveMonoCulture,10.80622,1/25/2019 7:00:00 AM,0.1,Low,2,162,B6,Green
1310,SensitiveMonoCulture,17.2439,1/25/2019 7:00:00 AM,0.1,Low,3,162,B7,Green
1311,SensitiveMonoCulture,9.156961,1/25/2019 7:00:00 AM,0.1,Low,4,162,B8,Green
1356,SensitiveMonoCulture,16.46227,1/25/2019 1:00:00 PM,0.1,Low,1,168,B5,Green
1357,SensitiveMonoCulture,10.76139,1/25/2019 1:00:00 PM,0.1,Low,2,168,B6,Green
1358,SensitiveMonoCulture,17.20746,1/25/2019 1:00:00 PM,0.1,Low,3,168,B7,Green
1359,SensitiveMonoCulture,9.43969,1/25/2019 1:00:00 PM,0.1,Low,4,168,B8,Green
