,Condition,Confluence,Date,DrugDose,Glucose,ReplicateId,Time,WellId,Channel
28,ResistantMonoCulture,15.61761,1/18/2019 1:00:00 PM,0.1,Low,1,0,D5,Red
29,ResistantMonoCulture,13.05575,1/18/2019 1:00:00 PM,0.1,Low,2,0,D6,Red
30,ResistantMonoCulture,16.84692,1/18/2019 1:00:00 PM,0.1,Low,3,0,D7,Red
31,ResistantMonoCulture,13.49684,1/18/2019 1:00:00 PM,0.1,Low,4,0,D8,Red
76,ResistantMonoCulture,17.74367,1/18/2019 7:00:00 PM,0.1,Low,1,6,D5,Red
77,ResistantMonoCulture,14.78766,1/18/2019 7:00:00 PM,0.1,Low,2,6,D6,Red
78,ResistantMonoCulture,18.99698,1/18/2019 7:00:00 PM,0.1,Low,3,6,D7,Red
79,ResistantMonoCulture,15.3804,1/18/2019 7:00:00 PM,0.1,Low,4,6,D8,Red
124,ResistantMonoCulture,20.20505,1/19/2019 1:00:00 AM,0.1,Low,1,12,D5,Red
125,ResistantMonoCulture,16.77291,1/19/2019 1:00:00 AM,0.1,Low,2,12,D6,Red
126,ResistantMonoCulture,21.7087,1/19/2019 1:00:00 AM,0.1,Low,3,12,D7,Red
127,ResistantMonoCulture,17.37045,1/19/2019 1:00:00 AM,0.1,Low,4,12,D8,Red
172,ResistantMonoCulture,22.64955,1/19/2019 7:00:00 AM,0.1,Low,1,18,D5,Red
173,ResistantMonoCulture,18.77245,1/19/2019 7:00:00 AM,0.1,Low,2,18,D6,Red
174,ResistantMonoCulture,24.02185,1/19/2019 7:00:00 AM,0.1,Low,3,18,D7,Red
175,ResistantMonoCulture,19.24417,1/19/2019 7:00:00 AM,0.1,Low,4,18,D8,Red
220,ResistantMonoCulture,24.32064,1/19/2019 1:00:00 PM,0.1,Low,1,24,D5,Red
221,ResistantMonoCulture,20.4196,1/19/2019 1:00:00 PM,0.1,Low,2,24,D6,Red
222,ResistantMonoCulture,25.88131,1/19/2019 1:00:00 PM,0.1,Low,3,24,D7,Red
223,ResistantMonoCulture,21.06802,1/19/2019 1:00:00 PM,0.1,Low,4,24,D8,Red
268,ResistantMonoCulture,26.95233,1/19/2019 7:00:00 PM,0.1,Low,1,30,D5,Red
269,ResistantMonoCulture,22.40778,1/19/2019 7:00:00 PM,0.1,Low,2,30,D6,Red
