,Condition,Confluence,Glucose,ReplicateId,Time,Channel
652,ResistantMonoCulture,34.97582,Low,1,78,Red
653,ResistantMonoCulture,30.385720000000003,Low,2,78,Red
654,ResistantMonoCulture,35.26204,Low,3,78,Red
655,ResistantMonoCulture,32.294909999999994,Low,4,78,Red
700,ResistantMonoCulture,35.55375,Low,1,84,Red
701,ResistantMonoCulture,30.7473,Low,2,84,Red
702,ResistantMonoCulture,34.87546,Low,3,84,Red
703,ResistantMonoCulture,32.54953,Low,4,84,Red
748,ResistantMonoCulture,35.53389,Low,1,90,Red
749,ResistantMonoCulture,30.59727,Low,2,90,Red
750,ResistantMonoCulture,34.77661,Low,3,90,Red
751,ResistantMonoCulture,32.93891,Low,4,90,Red
796,ResistantMonoCulture,34.735440000000004,Low,1,96,Red
797,ResistantMonoCulture,30.3364,Low,2,96,Red
798,ResistantMonoCulture,33.99488,Low,3,96,Red
799,ResistantMonoCulture,33.34608,Low,4,96,Red
844,ResistantMonoCulture,32.9242,Low,1,102,Red
845,ResistantMonoCulture,29.7687,Low,2,102,Red
846,ResistantMonoCulture,34.15044,Low,3,102,Red
847,ResistantMonoCulture,33.48502,Low,4,102,Red
892,ResistantMonoCulture,33.30501,Low,1,108,Red
893,ResistantMonoCulture,30.87806,Low,2,108,Red
894,ResistantMonoCulture,34.94205,Low,3,108,Red
895,ResistantMonoCulture,33.68562,Low,4,108,Red
940,ResistantMonoCulture,32.38053,Low,1,114,Red
941,ResistantMonoCulture,30.377990000000004,Low,2,114,Red
942,ResistantMonoCulture,33.80816,Low,3,114,Red
943,ResistantMonoCulture,32.71117,Low,4,114,Red
988,ResistantMonoCulture,32.37169,Low,1,120,Red
989,ResistantMonoCulture,29.04516,Low,2,120,Red
990,ResistantMonoCulture,32.00562,Low,3,120,Red
991,ResistantMonoCulture,31.52776,Low,4,120,Red
1036,ResistantMonoCulture,34.08661,Low,1,126,Red
1037,ResistantMonoCulture,28.73093,Low,2,126,Red
1038,ResistantMonoCulture,30.73684,Low,3,126,Red
1039,ResistantMonoCulture,30.45373,Low,4,126,Red
1084,ResistantMonoCulture,30.95632,Low,1,132,Red
1085,ResistantMonoCulture,27.62413,Low,2,132,Red
1086,ResistantMonoCulture,29.73696,Low,3,132,Red
1087,ResistantMonoCulture,29.76752,Low,4,132,Red
1132,ResistantMonoCulture,30.72955,Low,1,138,Red
1133,ResistantMonoCulture,27.05353,Low,2,138,Red
1134,ResistantMonoCulture,28.77245,Low,3,138,Red
1135,ResistantMonoCulture,28.92905,Low,4,138,Red
1180,ResistantMonoCulture,31.05769,Low,1,144,Red
1181,ResistantMonoCulture,25.35688,Low,2,144,Red
1182,ResistantMonoCulture,27.57018,Low,3,144,Red
1183,ResistantMonoCulture,27.46142,Low,4,144,Red
1228,ResistantMonoCulture,29.3414,Low,1,150,Red
1229,ResistantMonoCulture,24.00213,Low,2,150,Red
1230,ResistantMonoCulture,26.46096,Low,3,150,Red
1231,ResistantMonoCulture,26.2299,Low,4,150,Red
1276,ResistantMonoCulture,28.43508,Low,1,156,Red
1277,ResistantMonoCulture,22.839920000000003,Low,2,156,Red
1278,ResistantMonoCulture,25.08393,Low,3,156,Red
1279,ResistantMonoCulture,25.674670000000003,Low,4,156,Red
1324,ResistantMonoCulture,27.69746,Low,1,162,Red
1325,ResistantMonoCulture,22.12112,Low,2,162,Red
1326,ResistantMonoCulture,24.28537,Low,3,162,Red
1327,ResistantMonoCulture,25.22205,Low,4,162,Red
1372,ResistantMonoCulture,27.09214,Low,1,168,Red
1373,ResistantMonoCulture,21.14138,Low,2,168,Red
1374,ResistantMonoCulture,23.29565,Low,3,168,Red
1375,ResistantMonoCulture,24.85563,Low,4,168,Red
12,SensitiveMonoCulture,12.27043,Low,1,0,Green
13,SensitiveMonoCulture,8.709453,Low,2,0,Green
14,SensitiveMonoCulture,13.06273,Low,3,0,Green
15,SensitiveMonoCulture,6.55162,Low,4,0,Green
60,SensitiveMonoCulture,14.54534,Low,1,6,Green
61,SensitiveMonoCulture,10.19735,Low,2,6,Green
62,SensitiveMonoCulture,15.62438,Low,3,6,Green
63,SensitiveMonoCulture,7.876602,Low,4,6,Green
108,SensitiveMonoCulture,16.8863,Low,1,12,Green
109,SensitiveMonoCulture,11.69875,Low,2,12,Green
110,SensitiveMonoCulture,17.81685,Low,3,12,Green
111,SensitiveMonoCulture,8.924831,Low,4,12,Green
156,SensitiveMonoCulture,18.73156,Low,1,18,Green
157,SensitiveMonoCulture,12.81019,Low,2,18,Green
158,SensitiveMonoCulture,19.837670000000003,Low,3,18,Green
159,SensitiveMonoCulture,9.943738,Low,4,18,Green
204,SensitiveMonoCulture,19.93918,Low,1,24,Green
205,SensitiveMonoCulture,14.14467,Low,2,24,Green
206,SensitiveMonoCulture,21.48223,Low,3,24,Green
207,SensitiveMonoCulture,10.8248,Low,4,24,Green
252,SensitiveMonoCulture,21.30367,Low,1,30,Green
253,SensitiveMonoCulture,14.77329,Low,2,30,Green
254,SensitiveMonoCulture,22.51838,Low,3,30,Green
255,SensitiveMonoCulture,11.41768,Low,4,30,Green
300,SensitiveMonoCulture,21.8415,Low,1,36,Green
301,SensitiveMonoCulture,15.55492,Low,2,36,Green
302,SensitiveMonoCulture,23.35575,Low,3,36,Green
303,SensitiveMonoCulture,11.71761,Low,4,36,Green
348,SensitiveMonoCulture,22.71458,Low,1,42,Green
349,SensitiveMonoCulture,15.89194,Low,2,42,Green
350,SensitiveMonoCulture,23.65968,Low,3,42,Green
351,SensitiveMonoCulture,11.92273,Low,4,42,Green
396,SensitiveMonoCulture,22.65963,Low,1,48,Green
397,SensitiveMonoCulture,16.10366,Low,2,48,Green
398,SensitiveMonoCulture,23.86301,Low,3,48,Green
399,SensitiveMonoCulture,12.01795,Low,4,48,Green
444,SensitiveMonoCulture,22.73918,Low,1,54,Green
445,SensitiveMonoCulture,16.03369,Low,2,54,Green
446,SensitiveMonoCulture,23.61371,Low,3,54,Green
447,SensitiveMonoCulture,12.09487,Low,4,54,Green
492,SensitiveMonoCulture,22.27246,Low,1,60,Green
493,SensitiveMonoCulture,16.07064,Low,2,60,Green
494,SensitiveMonoCulture,23.447,Low,3,60,Green
495,SensitiveMonoCulture,12.07898,Low,4,60,Green
540,SensitiveMonoCulture,22.28625,Low,1,66,Green
541,SensitiveMonoCulture,15.839720000000002,Low,2,66,Green
542,SensitiveMonoCulture,23.4577,Low,3,66,Green
543,SensitiveMonoCulture,11.96031,Low,4,66,Green
588,SensitiveMonoCulture,22.28293,Low,1,72,Green
589,SensitiveMonoCulture,15.75669,Low,2,72,Green
590,SensitiveMonoCulture,23.30339,Low,3,72,Green
591,SensitiveMonoCulture,11.95271,Low,4,72,Green
636,SensitiveMonoCulture,21.62906,Low,1,78,Green
637,SensitiveMonoCulture,15.58045,Low,2,78,Green
638,SensitiveMonoCulture,22.71966,Low,3,78,Green
639,SensitiveMonoCulture,11.69951,Low,4,78,Green
684,SensitiveMonoCulture,21.27421,Low,1,84,Green
685,SensitiveMonoCulture,15.36921,Low,2,84,Green
686,SensitiveMonoCulture,22.35097,Low,3,84,Green
687,SensitiveMonoCulture,11.49177,Low,4,84,Green
732,SensitiveMonoCulture,20.86352,Low,1,90,Green
733,SensitiveMonoCulture,15.00373,Low,2,90,Green
734,SensitiveMonoCulture,21.77011,Low,3,90,Green
735,SensitiveMonoCulture,11.27159,Low,4,90,Green
780,SensitiveMonoCulture,20.66368,Low,1,96,Green
781,SensitiveMonoCulture,14.66094,Low,2,96,Green
782,SensitiveMonoCulture,21.34512,Low,3,96,Green
783,SensitiveMonoCulture,11.17516,Low,4,96,Green
828,SensitiveMonoCulture,20.39988,Low,1,102,Green
829,SensitiveMonoCulture,14.51301,Low,2,102,Green
830,SensitiveMonoCulture,21.13944,Low,3,102,Green
831,SensitiveMonoCulture,11.14207,Low,4,102,Green
876,SensitiveMonoCulture,19.74818,Low,1,108,Green
877,SensitiveMonoCulture,14.17157,Low,2,108,Green
878,SensitiveMonoCulture,20.5695,Low,3,108,Green
879,SensitiveMonoCulture,10.90265,Low,4,108,Green
924,SensitiveMonoCulture,19.57529,Low,1,114,Green
925,SensitiveMonoCulture,13.90528,Low,2,114,Green
926,SensitiveMonoCulture,19.93134,Low,3,114,Green
927,SensitiveMonoCulture,10.65443,Low,4,114,Green
972,SensitiveMonoCulture,19.18535,Low,1,120,Green
973,SensitiveMonoCulture,13.65796,Low,2,120,Green
974,SensitiveMonoCulture,19.98249,Low,3,120,Green
975,SensitiveMonoCulture,10.56653,Low,4,120,Green
1020,SensitiveMonoCulture,18.774420000000003,Low,1,126,Green
1021,SensitiveMonoCulture,13.26194,Low,2,126,Green
1022,SensitiveMonoCulture,19.6587,Low,3,126,Green
1023,SensitiveMonoCulture,10.31077,Low,4,126,Green
1068,SensitiveMonoCulture,18.37132,Low,1,132,Green
1069,SensitiveMonoCulture,12.99797,Low,2,132,Green
1070,SensitiveMonoCulture,19.70315,Low,3,132,Green
1071,SensitiveMonoCulture,10.23382,Low,4,132,Green
1116,SensitiveMonoCulture,18.31282,Low,1,138,Green
1117,SensitiveMonoCulture,12.67721,Low,2,138,Green
1118,SensitiveMonoCulture,19.31028,Low,3,138,Green
1119,SensitiveMonoCulture,10.0754,Low,4,138,Green
1164,SensitiveMonoCulture,18.551170000000003,Low,1,144,Green
1165,SensitiveMonoCulture,12.8994,Low,2,144,Green
1166,SensitiveMonoCulture,19.14194,Low,3,144,Green
1167,SensitiveMonoCulture,9.997997,Low,4,144,Green
1212,SensitiveMonoCulture,16.91161,Low,1,150,Green
1213,SensitiveMonoCulture,11.5368,Low,2,150,Green
1214,SensitiveMonoCulture,17.75931,Low,3,150,Green
1215,SensitiveMonoCulture,9.39973,Low,4,150,Green
1260,SensitiveMonoCulture,16.668120000000002,Low,1,156,Green
1261,SensitiveMonoCulture,11.10145,Low,2,156,Green
1262,SensitiveMonoCulture,17.28828,Low,3,156,Green
1263,SensitiveMonoCulture,9.297083,Low,4,156,Green
1308,SensitiveMonoCulture,16.45194,Low,1,162,Green
1309,SensitiveMonoCulture,10.80622,Low,2,162,Green
1310,SensitiveMonoCulture,17.2439,Low,3,162,Green
1311,SensitiveMonoCulture,9.156961,Low,4,162,Green
1356,SensitiveMonoCulture,16.46227,Low,1,168,Green
1357,SensitiveMonoCulture,10.76139,Low,2,168,Green
1358,SensitiveMonoCulture,17.20746,Low,3,168,Green
1359,SensitiveMonoCulture,9.43969,Low,4,168,Green
